ID,Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions,ExpectedDomain,DomainFlag
2021,Umar Cheema,ARY News,Express Tribune,KPK,Peshawar,Economy,Budget deficit reaches record high,,10799236.0,155.0,1.904576546,1.0,,129375.0,5000000.0,0,0,2020-01-05,,Opposition,,"['Crime', 'Politics']",0
2022,Najam Sethi,Express News,Daily Pakistan,Sindh,Hyderabad,Education,Matric exams leaked in Karachi,23.55726288,5000000.0,310.0,1.322727192,,,,,1,0,2021-01-12,English,Opposition,7008.0,"['Politics', 'Media', 'Sports']",0
2023,Saleem Safi,Geo News,The News,Punjab,Multan,Health,Hospitals face medicine shortages,83.68151852,5000000.0,,,,,145559.0,10000000.0,0,0,2025-10-02,Urdu,Pro-Govt,,"['Politics', 'Terrorism']",0
2024,Mohsin Raza,AbbTakk News,Jang,Sindh,Hyderabad,Sports,Women cricket team sets new record,,1255282.0,329.0,,-1.0,14.62215278,6331.0,2664246.615,1,0,2019-02-12,ENG,Neutral,43863.0,"['Media', 'Politics']",0
2025,Umar Cheema,Express News,The News,Punjab,Rawalpindi,Politics,Government to increase petrol price by Rs. 20,97.62715149,5000000.0,150.0,,,,,773678.8089,0,0,2019-02-22,ENG,Pro-Govt,,"['Crime', 'Politics']",1
2026,Asma Shirazi,Hum News,Daily Pakistan,Punjab,Multan,Politics,Government announces new health policy,100.0,,,,,,,,0,0,2019-08-11,urdu,Pro-Govt,9274.0,"['Politics', 'Media']",1
2027,Kamran Khan,ARY News,Daily Pakistan,Balochistan,Quetta,Sports,Women cricket team sets new record,93.0222248,20000000.0,,-0.8389025208,,731685.0,,5000000.0,1,0,2023-10-07,,Pro-Govt,,"['Politics', 'Economy', 'Sports', 'Media']",1
2028,Ansar Abbasi,Samaa TV,Dawn,Punjab,Rawalpindi,Politics,Government launches CPEC project in Gwadar,,,225.0,,5.0,,168133.0,10000000.0,,0,2019-05-26,ENG,,,"['Judiciary', 'Politics']",1
2029,Rauf Klasra,Geo News,Jang,Punjab,Lahore,Education,Education ministry faces criticism,100.0,,,,3.0,,88723.0,,1,0,2025-08-09,English,Pro-Govt,17331.0,"['Politics', 'Economy']",0
2030,Saleem Safi,ARY News,Nawa-i-Waqt,Punjab,Rawalpindi,Media,News anchor resigns citing threats,100.0,5000000.0,474.0,1.638145365,3.0,,,10000000.0,0,0,2024-10-07,English,Neutral,,"['Politics', 'Terrorism']",0
2031,Talat Hussain,Hum News,Dawn,Punjab,Rawalpindi,Sports,Karachi Kings beat Multan Sultans,30.34376974,7551687.0,,,0.0,31.47606485,78012.0,3691211.892,1,0,2025-10-28,English,Opposition,26095.0,"['Politics', 'Media']",0
2032,Owais Tohid,Dawn News,The News,Balochistan,Quetta,Education,University students protest fee hikes,,,,1.242839737,0.0,49.49324416,,37962.264,1,0,2023-01-03,ENG,Opposition,11817.0,"['Media', 'Politics']",0
2033,Ansar Abbasi,Geo News,Jang,KPK,Peshawar,Education,Punjab bans junk food in schools,,20000000.0,488.0,,1.0,,,10000000.0,1,0,2021-05-11,Urdu,Pro-Govt,,"['Judiciary', 'Politics']",0
2034,Saleem Safi,Dawn News,Express Tribune,Punjab,Multan,Politics,Cabinet approves controversial media law,,1000000.0,,,5.0,34.2190162,,10000000.0,0,0,2025-04-26,ENG,Pro-Govt,557.0,"['Politics', 'Terrorism']",1
2035,Asma Shirazi,Dawn News,Jang,AJK,Muzaffarabad,Terrorism,Attack on Army convoy in Waziristan,,20000000.0,485.0,,5.0,30.39727121,,10000000.0,1,0,2018-06-04,urdu,Opposition,,"['Politics', 'Media']",0
2036,Kamran Khan,ARY News,Dawn,Punjab,Multan,Environment,Flood relief funds under scrutiny,,20000000.0,,,0.0,,164602.0,5000000.0,0,0,2018-07-17,,Neutral,36773.0,"['Politics', 'Economy', 'Sports', 'Media']",0
2037,Owais Tohid,Express News,Nawa-i-Waqt,Punjab,Rawalpindi,Education,Student unions demand restoration,19.73484307,20000000.0,95.0,,,19.56440945,,10000000.0,1,0,2019-05-28,urdu,Pro-Govt,7355.0,"['Media', 'Politics']",0
2038,Rauf Klasra,Samaa TV,Daily Pakistan,Sindh,Karachi,Media,Newspaper circulation declines,62.11672988,1000000.0,,,3.0,,50499.0,,0,0,2018-10-17,,Pro-Govt,35994.0,"['Politics', 'Economy']",0
2039,Dr. Shahid Masood,Samaa TV,Dawn,AJK,Muzaffarabad,Health,Hospitals face medicine shortages,,3476634.0,,-0.6301090056,-1.0,,,10000000.0,1,0,2025-03-24,ENG,Neutral,42345.0,"['Politics', 'Judiciary']",0
2040,Shahzeb Khanzada,Express News,Daily Pakistan,KPK,Peshawar,Politics,PPP vs PMLN war of words heats up,,8455253.0,97.0,,,16.10953595,,10000000.0,,0,2019-08-10,,Opposition,,"['Politics', 'Economy', 'Media']",1
2041,Shahzeb Khanzada,Geo News,The News,Balochistan,Quetta,Environment,Relief camp set up in Multan,,1000000.0,,,,24.22331549,,1417101.194,0,0,2019-12-23,,Pro-Govt,498.0,"['Politics', 'Economy', 'Media']",0
2042,Umar Cheema,Express News,Daily Pakistan,Sindh,Hyderabad,Education,Punjab launches scholarship scheme,17.87579601,20000000.0,,,-1.0,30.18935814,,3898536.209,0,0,2023-05-24,Urdu,,39799.0,"['Crime', 'Politics']",0
2043,Ansar Abbasi,Dawn News,Jang,AJK,Muzaffarabad,Media,Ban on talkshows sparks outrage,,,225.0,,4.0,939869.0,,5000000.0,,0,2021-10-03,,Pro-Govt,,"['Judiciary', 'Politics']",0
2044,Rauf Klasra,Geo News,Dawn,Punjab,Rawalpindi,Judiciary,CJ addresses bar association,,20000000.0,,,,16.60246082,64982.0,909295.9202,0,0,2021-09-20,,Neutral,,"['Politics', 'Economy']",0
2045,Kamran Khan,Hum News,The News,Sindh,Hyderabad,Health,Doctors protest low salaries,,5000000.0,128.0,1.197126012,,,,1960144.887,0,0,2020-05-16,English,Opposition,10164.0,"['Politics', 'Economy', 'Sports', 'Media']",0
2046,Talat Hussain,Geo News,Nawa-i-Waqt,AJK,Muzaffarabad,Sports,New talent emerges in under-19 cricket,,1000000.0,494.0,-1.813020169,,,22231.0,,1,0,2024-12-23,ENG,,7908.0,"['Politics', 'Media']",0
2047,Mohsin Raza,Dawn News,Jang,Sindh,Karachi,Crime,ARY anchor arrested in midnight raid,,8883457.0,,0.08320270494,,22.3469822,61287.0,3473560.14,1,0,2020-09-05,Urdu,,,"['Media', 'Politics']",0
2048,Shahzeb Khanzada,ARY News,Dawn,Punjab,Rawalpindi,Environment,Health crisis follows floods,,20000000.0,,-0.9190702794,,1025472.0,,10000000.0,,0,2019-06-01,ENG,,13544.0,"['Politics', 'Economy', 'Media']",0
2049,Mohsin Raza,Dawn News,The News,Punjab,Multan,Economy,Stock exchange crashes amid crisis,34.43799269,1000000.0,19.0,0.3879047412,,,24376.0,3651390.566,,0,2025-01-22,,,,"['Media', 'Politics']",0
2050,Rauf Klasra,Express News,Daily Pakistan,Punjab,Rawalpindi,Economy,Bomb blast near Karachi market,11.60923831,20000000.0,,,,1767579.0,,,1,0,2024-11-26,ENG,Neutral,30647.0,"['Politics', 'Economy']",1
2051,Mohsin Raza,Geo News,Daily Pakistan,Sindh,Hyderabad,Media,"Judiciary under pressure, say analysts",100.0,1000000.0,225.0,1.98690145,1.0,,164569.0,5000000.0,0,0,2023-07-12,ENG,Opposition,30072.0,"['Media', 'Politics']",1
2052,Mohsin Raza,Dawn News,The News,Punjab,Lahore,Health,Doctors protest low salaries,34.80281213,1000000.0,,,,,,5000000.0,0,0,2025-03-15,English,Pro-Govt,14947.0,"['Media', 'Politics']",0
2053,Ansar Abbasi,AbbTakk News,Nawa-i-Waqt,KPK,Peshawar,Terrorism,Quetta blast: ISPR releases statement,,,,-0.158733965,-1.0,862653.0,,10000000.0,0,0,2018-02-12,urdu,,,"['Judiciary', 'Politics']",0
2054,Owais Tohid,AbbTakk News,The News,Sindh,Karachi,Environment,Thousands displaced due to rains,100.0,5000000.0,201.0,,,49.59257721,,5000000.0,,0,2023-06-09,,Pro-Govt,34539.0,"['Media', 'Politics']",0
2055,Rauf Klasra,Express News,Daily Pakistan,KPK,Peshawar,Environment,Thousands displaced due to rains,100.0,1000000.0,,1.353423187,4.0,20.83424912,105869.0,,0,0,2020-04-01,,,34693.0,"['Politics', 'Economy']",0
2056,Kamran Khan,Hum News,Jang,Punjab,Lahore,Sports,Karachi Kings beat Multan Sultans,,10520002.0,223.0,-0.6690115874,,26.23166587,3816.0,2072311.672,0,0,2018-04-14,English,Neutral,5795.0,"['Politics', 'Economy', 'Sports', 'Media']",1
2057,Shahzeb Khanzada,Express News,Nawa-i-Waqt,Sindh,Hyderabad,Media,Newspaper circulation declines,,,36.0,,-1.0,,,10000000.0,1,0,2020-02-24,Urdu,Neutral,23196.0,"['Politics', 'Economy', 'Media']",1
2058,Mohsin Raza,Geo News,Dawn,AJK,Muzaffarabad,Politics,Cabinet approves controversial media law,,20000000.0,,,0.0,26.12244498,125651.0,10000000.0,0,0,2021-05-16,urdu,Opposition,,"['Media', 'Politics']",1
2059,Rauf Klasra,Express News,Nawa-i-Waqt,Punjab,Rawalpindi,Education,Education ministry faces criticism,66.82649287,20000000.0,,-0.470956777,,1188311.0,38015.0,10000000.0,0,0,2018-01-25,ENG,Neutral,23324.0,"['Politics', 'Economy']",0
2060,Dr. Shahid Masood,ARY News,Nawa-i-Waqt,Sindh,Hyderabad,Environment,Relief camp set up in Multan,,20000000.0,98.0,0.631358473,-1.0,43.95953397,126086.0,262830.2472,1,0,2021-11-24,,,,"['Politics', 'Judiciary']",0
2061,Rauf Klasra,ARY News,Dawn,KPK,Peshawar,Education,Punjab launches scholarship scheme,100.0,5000000.0,,,,1179506.0,,2400845.053,1,0,2025-01-23,ENG,Pro-Govt,,"['Politics', 'Economy']",0
2062,Talat Hussain,ARY News,Daily Pakistan,Punjab,Rawalpindi,Environment,Karachi drainage system collapses,72.61705468,20000000.0,,,,,164894.0,10000000.0,1,0,2023-08-26,,Opposition,,"['Politics', 'Media']",0
2063,Shahzeb Khanzada,ARY News,Jang,AJK,Muzaffarabad,Judiciary,Case adjourned till next week,67.94267638,20000000.0,185.0,,,934234.0,,5000000.0,0,0,2023-12-17,ENG,Opposition,,"['Politics', 'Economy', 'Media']",0
2064,Kamran Khan,Samaa TV,Daily Pakistan,Punjab,Lahore,Economy,Trade deficit widens again,,20000000.0,,-1.413502887,,33.24116915,,,0,0,2021-11-28,urdu,Neutral,,"['Politics', 'Economy', 'Sports', 'Media']",1
2065,Umar Cheema,Express News,The News,Punjab,Multan,Terrorism,Quetta blast: ISPR releases statement,,,,,,1760040.0,,,0,0,2024-09-09,English,Opposition,,"['Crime', 'Politics']",0
2066,Kamran Khan,Hum News,Jang,Islamabad,Islamabad,Politics,Election rigging scandal unfolds in Lahore,82.64961825,5000000.0,331.0,,5.0,969133.0,95501.0,751327.6173,0,0,2020-05-06,English,,7881.0,"['Politics', 'Economy', 'Sports', 'Media']",1
2067,Umar Cheema,Hum News,Daily Pakistan,Punjab,Lahore,Economy,Trade deficit widens again,,5000000.0,,-0.9726466275,,1738699.0,,,1,0,2025-09-10,urdu,,7302.0,"['Crime', 'Politics']",0
2068,Rauf Klasra,Samaa TV,The News,Punjab,Multan,Education,Matric exams leaked in Karachi,,20000000.0,216.0,-1.624031521,2.0,1828525.0,,5000000.0,0,0,2018-09-15,ENG,Pro-Govt,,"['Politics', 'Economy']",0
2069,Matiullah Jan,Geo News,Daily Pakistan,Punjab,Lahore,Economy,Stock exchange crashes amid crisis,61.09300119,20000000.0,493.0,,0.0,1620568.0,,1295679.81,1,0,2022-06-21,Urdu,,22928.0,"['Judiciary', 'Politics']",0
2070,Owais Tohid,Geo News,The News,Punjab,Rawalpindi,Politics,Government launches CPEC project in Gwadar,100.0,2104166.0,,,,4.797856623,,10000000.0,0,0,2019-02-26,,,33487.0,"['Media', 'Politics']",1
2071,Najam Sethi,Geo News,Nawa-i-Waqt,Punjab,Rawalpindi,Media,"Judiciary under pressure, say analysts",,5000000.0,,,,733058.0,157405.0,10000000.0,0,0,2021-07-11,,,,"['Politics', 'Media', 'Sports']",1
2072,Kamran Khan,Samaa TV,Jang,Balochistan,Quetta,Terrorism,Health workers go on strike in Punjab,96.59950041,6089485.0,,-1.953278351,4.0,43.65222668,120353.0,2551766.869,0,0,2023-02-21,ENG,Opposition,40744.0,"['Politics', 'Economy', 'Sports', 'Media']",0
2073,Matiullah Jan,Geo News,Nawa-i-Waqt,Punjab,Lahore,Media,Newspaper circulation declines,,,67.0,,0.0,7.116031565,,5000000.0,1,0,2025-12-03,ENG,Neutral,,"['Judiciary', 'Politics']",0
2074,Mohsin Raza,Express News,The News,Sindh,Hyderabad,Media,Aid for Balochistan still missing,,20000000.0,,,,,,10000000.0,0,0,2022-12-22,English,,,"['Media', 'Politics']",1
2075,Ansar Abbasi,Express News,Dawn,Punjab,Multan,Judiciary,Lawyers boycott proceedings,73.08589335,,,1.942399232,-1.0,,,5000000.0,1,0,2018-06-28,,Opposition,36057.0,"['Judiciary', 'Politics']",1
2076,Saleem Safi,Geo News,Nawa-i-Waqt,Sindh,Karachi,Environment,Karachi drainage system collapses,,1000000.0,,1.122234868,4.0,,150155.0,10000000.0,,0,2024-06-16,ENG,Pro-Govt,37569.0,"['Politics', 'Terrorism']",0
2077,Mohsin Raza,Express News,Jang,Sindh,Karachi,Environment,Climate change worsening floods,88.27433431,,,-0.9647755373,,623415.0,,5000000.0,1,0,2022-06-06,,Pro-Govt,22563.0,"['Media', 'Politics']",0
2078,Kamran Khan,Hum News,Express Tribune,Punjab,Rawalpindi,Health,Polio cases reported in KPK,,1000000.0,,1.780419387,5.0,42.90637592,62497.0,10000000.0,0,0,2024-02-04,Urdu,Pro-Govt,44017.0,"['Politics', 'Economy', 'Sports', 'Media']",0
2079,Shahzeb Khanzada,AbbTakk News,The News,Sindh,Karachi,Media,Journalists protest censorship in Islamabad,50.35256746,20000000.0,150.0,0.6488849866,2.0,17.0775935,64674.0,3285614.099,,0,2024-07-22,ENG,Opposition,,"['Politics', 'Economy', 'Media']",1
2080,Kamran Shahid,Samaa TV,Nawa-i-Waqt,Punjab,Lahore,Politics,Supreme Court issues notice on corruption case,,,,,3.0,1593229.0,,10000000.0,0,0,2019-06-17,,Pro-Govt,,"['Politics', 'Media']",1
2081,Shahzeb Khanzada,Express News,Dawn,Punjab,Multan,Economy,Pakistan seeks investment from Gulf countries,43.57512516,2762290.0,53.0,-1.239698868,5.0,,63869.0,,0,0,2022-10-28,English,,19206.0,"['Politics', 'Economy', 'Media']",1
2082,Umar Cheema,ARY News,Jang,Punjab,Multan,Terrorism,Militant hideout destroyed in KPK,100.0,20000000.0,0.0,,,46.23018424,66593.0,,1,0,2020-11-04,ENG,,9961.0,"['Crime', 'Politics']",0
2083,Shahzeb Khanzada,Geo News,Jang,AJK,Muzaffarabad,Environment,Flood relief funds under scrutiny,,845336.0,381.0,0.833240607,3.0,32.75929788,,4429595.772,1,0,2019-11-22,Urdu,,,"['Politics', 'Economy', 'Media']",0
2084,Talat Hussain,AbbTakk News,Jang,Sindh,Karachi,Media,Newspaper circulation declines,59.27811178,20000000.0,,,4.0,169360.0,181786.0,5000000.0,1,0,2025-06-05,urdu,Opposition,,"['Politics', 'Media']",1
2085,Asma Shirazi,ARY News,Dawn,Sindh,Karachi,Education,Health workers go on strike in Punjab,38.00138897,1000000.0,,0.3019763541,,,,10000000.0,0,0,2021-01-26,,Pro-Govt,,"['Politics', 'Media']",0
2086,Owais Tohid,Hum News,The News,Punjab,Lahore,Education,Student unions demand restoration,63.68563904,5000000.0,,,5.0,44.60217973,,,0,0,2018-01-02,Urdu,,5106.0,"['Media', 'Politics']",0
2087,Mohsin Raza,Hum News,Daily Pakistan,Sindh,Hyderabad,Sports,New talent emerges in under-19 cricket,36.83084917,5000000.0,361.0,0.7237095768,,35.66522919,181253.0,598356.5739,,0,2025-02-18,Urdu,,27092.0,"['Media', 'Politics']",0
2088,Saleem Safi,Geo News,Nawa-i-Waqt,Punjab,Lahore,Politics,Election rigging scandal unfolds in Lahore,,5000000.0,,-0.1900139837,,1673529.0,,,1,0,2018-10-03,English,Pro-Govt,,"['Politics', 'Terrorism']",1
2089,Mohsin Raza,Geo News,Jang,Sindh,Hyderabad,Media,"Media freedom at risk, says HRCP report",,,,0.5729919251,,778738.0,,,0,0,2022-11-07,ENG,Neutral,,"['Media', 'Politics']",1
2090,Dr. Shahid Masood,Geo News,Jang,KPK,Peshawar,Education,Education ministry faces criticism,,,134.0,,-1.0,47.59826613,,-26207.23663,,0,2021-09-24,urdu,Pro-Govt,,"['Politics', 'Judiciary']",0
2091,Kamran Shahid,Geo News,Jang,KPK,Peshawar,Terrorism,Terrorist attack in Quetta leaves 20 dead,26.46136311,1000000.0,222.0,,,,,,0,0,2023-12-03,,Pro-Govt,,"['Politics', 'Media']",0
2092,Kamran Khan,Hum News,The News,Islamabad,Islamabad,Sports,Cricket team departs for World Cup,100.0,,437.0,-0.818370354,,994680.0,63929.0,10000000.0,1,0,2021-01-10,urdu,,11494.0,"['Politics', 'Economy', 'Sports', 'Media']",1
2093,Matiullah Jan,Hum News,The News,Punjab,Lahore,Media,"Judiciary under pressure, say analysts",62.8109872,20000000.0,,-0.4008209598,,5.68613918,,,,0,2021-06-18,urdu,,,"['Judiciary', 'Politics']",0
2094,Ansar Abbasi,Samaa TV,The News,AJK,Muzaffarabad,Sports,Pakistan football team defeats India,100.0,1000000.0,99.0,-0.7326675504,,901165.0,,5000000.0,0,0,2024-11-16,,Pro-Govt,,"['Judiciary', 'Politics']",0
2095,Mohsin Raza,Geo News,Dawn,Punjab,Multan,Health,COVID resurfaces in Islamabad schools,22.83453043,1000000.0,,0.3610189693,3.0,49.87167995,12894.0,,1,0,2025-03-14,ENG,Pro-Govt,,"['Media', 'Politics']",0
2096,Owais Tohid,Dawn News,Jang,AJK,Muzaffarabad,Politics,Election rigging scandal unfolds in Lahore,19.5588029,20000000.0,352.0,-1.874391148,3.0,2.887753655,181020.0,2959366.498,1,0,2019-10-10,ENG,,43462.0,"['Media', 'Politics']",1
2097,Kamran Khan,Dawn News,Jang,Punjab,Lahore,Economy,Bomb blast near Karachi market,,2192247.0,458.0,,0.0,12.45332913,185940.0,5000000.0,1,0,2018-08-12,English,Neutral,,"['Politics', 'Economy', 'Sports', 'Media']",1
2098,Dr. Shahid Masood,ARY News,Nawa-i-Waqt,Balochistan,Quetta,Sports,Hockey team faces funding crisis,,,406.0,,,1835164.0,,,1,0,2022-09-04,Urdu,Opposition,,"['Politics', 'Judiciary']",0
2099,Shahzeb Khanzada,Express News,Jang,AJK,Muzaffarabad,Judiciary,Lawyers boycott proceedings,,1000000.0,145.0,,3.0,,132880.0,5000000.0,1,0,2024-04-02,,Pro-Govt,8138.0,"['Politics', 'Economy', 'Media']",0
2100,Ansar Abbasi,Hum News,Jang,Punjab,Lahore,Education,Student unions demand restoration,,20000000.0,,,3.0,,,5000000.0,0,0,2019-05-28,,Opposition,2162.0,"['Judiciary', 'Politics']",0
2101,Rauf Klasra,ARY News,Dawn,Punjab,Rawalpindi,Economy,Bomb blast near Karachi market,,1000000.0,,,2.0,,,,0,0,2019-02-13,English,Pro-Govt,,"['Politics', 'Economy']",1
2102,Dr. Shahid Masood,Geo News,Dawn,Punjab,Multan,Economy,Dollar hits 300 in open market,,,,,,1073779.0,,1265508.031,1,0,2021-11-02,urdu,Pro-Govt,26594.0,"['Politics', 'Judiciary']",0
2103,Talat Hussain,Geo News,Jang,Sindh,Karachi,Crime,ARY anchor arrested in midnight raid,15.37379273,20000000.0,84.0,-0.6386390527,-1.0,39.09229569,193814.0,613164.2189,,0,2018-04-04,urdu,Opposition,36858.0,"['Politics', 'Media']",0
2104,Matiullah Jan,Dawn News,Daily Pakistan,Sindh,Hyderabad,Economy,IMF deal finalised today,,,320.0,1.017809082,,,142823.0,,1,0,2021-09-07,urdu,Pro-Govt,,"['Judiciary', 'Politics']",0
2105,Asma Shirazi,Geo News,Daily Pakistan,KPK,Peshawar,Politics,High Court stays government decision,,10868894.0,440.0,1.103922532,1.0,47.7085778,172248.0,5000000.0,1,0,2019-07-25,,,,"['Politics', 'Media']",1
2106,Dr. Shahid Masood,Geo News,Jang,Balochistan,Quetta,Economy,Exports see slight recovery,,5000000.0,,-0.5461866667,,1866315.0,,10000000.0,1,0,2019-01-07,,Neutral,,"['Politics', 'Judiciary']",0
2107,Talat Hussain,Geo News,Nawa-i-Waqt,Sindh,Hyderabad,Economy,Bomb blast near Karachi market,,1000000.0,,1.800494317,5.0,,8377.0,1358525.971,0,0,2018-10-02,ENG,Pro-Govt,,"['Politics', 'Media']",0
2108,Mohsin Raza,Samaa TV,The News,Balochistan,Quetta,Judiciary,CJ addresses bar association,,12350861.0,,-0.1274673239,3.0,49.45721058,,-78614.45666,0,0,2020-07-25,Urdu,,,"['Media', 'Politics']",0
2109,Saleem Safi,Samaa TV,Nawa-i-Waqt,Sindh,Karachi,Education,Punjab bans junk food in schools,100.0,11965441.0,,,2.0,777418.0,,132573.8663,0,0,2025-11-20,English,Pro-Govt,8376.0,"['Politics', 'Terrorism']",0
2110,Rauf Klasra,Express News,Nawa-i-Waqt,Sindh,Karachi,Health,Vaccination drive faces shortage,88.17004376,1000000.0,,,,1503992.0,,5000000.0,1,0,2024-10-12,urdu,Opposition,,"['Politics', 'Economy']",0
2111,Asma Shirazi,Express News,Express Tribune,Balochistan,Quetta,Terrorism,TTP commander killed in operation,72.56071958,17256987.0,291.0,-0.6045636718,1.0,30.29316278,84905.0,5000000.0,1,0,2023-01-16,urdu,,43145.0,"['Politics', 'Media']",0
2112,Saleem Safi,Express News,The News,AJK,Muzaffarabad,Media,"Judiciary under pressure, say analysts",77.83093084,,,1.969939232,5.0,14.78600508,156035.0,1040919.589,1,0,2023-07-21,Urdu,Opposition,,"['Politics', 'Terrorism']",0
2113,Shahzeb Khanzada,Express News,Dawn,Islamabad,Islamabad,Politics,Government announces new health policy,,,,,,32.1065131,123388.0,5000000.0,,0,2019-06-25,urdu,Neutral,18833.0,"['Politics', 'Economy', 'Media']",1
2114,Nusrat Javed,Hum News,Express Tribune,AJK,Muzaffarabad,Media,New universities to be established,,6111407.0,179.0,,,1317915.0,,,1,0,2022-01-13,ENG,,41974.0,"['Politics', 'Media']",1
2115,Saleem Safi,ARY News,The News,Punjab,Multan,Education,Punjab launches scholarship scheme,,,229.0,1.962909572,3.0,,,2659685.494,1,0,2020-04-13,urdu,Neutral,,"['Politics', 'Terrorism']",0
2116,Mohsin Raza,Dawn News,Jang,Balochistan,Quetta,Politics,Cabinet approves controversial media law,,1000000.0,,-1.569043966,4.0,495268.0,168818.0,,0,0,2025-08-23,,Neutral,16970.0,"['Media', 'Politics']",1
2117,Owais Tohid,Geo News,Express Tribune,Balochistan,Quetta,Judiciary,Villages submerged in southern Punjab,93.5967344,,,,5.0,49.07556935,,,1,0,2022-01-20,urdu,,33255.0,"['Media', 'Politics']",0
2118,Owais Tohid,Geo News,The News,Punjab,Rawalpindi,Education,Punjab launches scholarship scheme,,5000000.0,,,5.0,701234.0,176974.0,10000000.0,0,0,2018-01-02,English,,,"['Media', 'Politics']",0
2119,Ansar Abbasi,Samaa TV,Nawa-i-Waqt,Punjab,Rawalpindi,Sports,Health workers go on strike in Punjab,82.85275452,,104.0,,,13.33533419,,5000000.0,1,0,2020-05-07,English,Pro-Govt,,"['Judiciary', 'Politics']",0
2120,Talat Hussain,ARY News,Dawn,AJK,Muzaffarabad,Education,Matric exams leaked in Karachi,,20000000.0,,0.8574167591,,1074678.0,170733.0,5000000.0,0,0,2025-11-03,urdu,Pro-Govt,,"['Politics', 'Media']",0
2121,Najam Sethi,Samaa TV,Dawn,Punjab,Rawalpindi,Economy,Exports see slight recovery,,17567663.0,114.0,1.603707649,-1.0,,139621.0,106895.922,0,0,2022-09-12,English,Pro-Govt,,"['Politics', 'Media', 'Sports']",0
2122,Matiullah Jan,ARY News,Jang,Islamabad,Islamabad,Environment,NDMA warns of heavy rains in Punjab,47.58282835,5000000.0,,-1.593820419,2.0,31.37314711,65691.0,143117.7802,0,0,2022-09-21,Urdu,,7773.0,"['Judiciary', 'Politics']",0
2123,Mohsin Raza,ARY News,Nawa-i-Waqt,Punjab,Lahore,Sports,New talent emerges in under-19 cricket,,20000000.0,,,,206020.0,70309.0,1873743.965,,0,2018-03-27,urdu,,46073.0,"['Media', 'Politics']",0
2124,Dr. Shahid Masood,Samaa TV,Dawn,Punjab,Rawalpindi,Terrorism,Army chief meets PM over political crisis,56.91338851,20000000.0,,-1.740368122,,,,,1,0,2022-06-24,,,48503.0,"['Politics', 'Judiciary']",0
2125,Kamran Khan,Hum News,Jang,Punjab,Multan,Economy,HEC budget slashed again,,5000000.0,476.0,,5.0,,,5000000.0,0,0,2024-09-04,,Pro-Govt,,"['Politics', 'Economy', 'Sports', 'Media']",1
2126,Shahzeb Khanzada,ARY News,Express Tribune,Punjab,Rawalpindi,Judiciary,Lawyers boycott proceedings,,,417.0,-1.482758977,,,102699.0,10000000.0,1,0,2018-07-27,Urdu,,,"['Politics', 'Economy', 'Media']",0
2127,Owais Tohid,Samaa TV,Daily Pakistan,Sindh,Hyderabad,Terrorism,TTP commander killed in operation,,1000000.0,271.0,1.028847065,2.0,1970858.0,,,1,0,2018-08-10,,,10263.0,"['Media', 'Politics']",0
2128,Shahzeb Khanzada,ARY News,Express Tribune,KPK,Peshawar,Economy,Bomb blast near Karachi market,92.07480601,,,,5.0,238503.0,94448.0,10000000.0,0,0,2019-12-21,,,20333.0,"['Politics', 'Economy', 'Media']",1
2129,Owais Tohid,ARY News,Jang,Sindh,Karachi,Judiciary,Senate passes constitutional amendment,,5000000.0,242.0,,2.0,45.20831691,35487.0,1378296.033,1,0,2024-12-01,,Pro-Govt,16479.0,"['Media', 'Politics']",0
2130,Ansar Abbasi,ARY News,Jang,Punjab,Lahore,Economy,Trade deficit widens again,95.86556138,,,,2.0,1455155.0,249.0,10000000.0,1,0,2023-01-06,,Neutral,31906.0,"['Judiciary', 'Politics']",0
2131,Umar Cheema,ARY News,Express Tribune,AJK,Muzaffarabad,Education,Private schools increase fees,47.24781775,,339.0,-0.1524645286,,1837620.0,68412.0,,0,0,2021-07-05,Urdu,,,"['Crime', 'Politics']",0
2132,Rauf Klasra,Samaa TV,Nawa-i-Waqt,Punjab,Lahore,Terrorism,TTP commander killed in operation,,1000000.0,,,-1.0,,127990.0,10000000.0,0,0,2021-08-12,urdu,Opposition,,"['Politics', 'Economy']",0
2133,Kamran Shahid,Dawn News,Express Tribune,Sindh,Hyderabad,Crime,Top court rejects NAB report,48.33991483,20000000.0,,-1.486691463,0.0,30.0690205,85705.0,5000000.0,1,0,2022-08-22,ENG,,,"['Politics', 'Media']",0
2134,Shahzeb Khanzada,Samaa TV,Express Tribune,AJK,Muzaffarabad,Politics,Cabinet approves controversial media law,40.50642692,5000000.0,,0.982046898,,16.13809315,,10000000.0,1,0,2021-03-25,Urdu,Opposition,3380.0,"['Politics', 'Economy', 'Media']",1
2135,Mohsin Raza,Dawn News,Dawn,Balochistan,Quetta,Terrorism,Terrorist attack in Quetta leaves 20 dead,4.926265418,5000000.0,157.0,1.644387895,,,,10000000.0,0,0,2025-10-14,Urdu,Opposition,48421.0,"['Media', 'Politics']",0
