ID,Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions
4332,Dr. Shahid Masood,HUM News,Jang,Sindh,Islamabad,Sports,Babar Azam century wins the game,,2 crore,,,5,19.55688972,,,,,2024-01-05,English,,
4333,shahzeb khanzada,ARY,Nawa-i-Waqt,Balochistan,Rawalpindi,Education,Teachers boycott classes in KP,82.88299291,,104,0.9132689828,,8.066358055,196413,50 lakh,1,,2022-04-17,Urdu,Pro-Govt,
4334,RAUF KLASSRA,Samaa,Nawa-i-Waqt,Punjab,Multan,Health,Security forces foil major terror bid,,2 crore,,-0.7657191105,,,9044,2041986.077,1,0,2022-06-15,Urdu,Neutral,
4335,Dr. Shahid Masood,ARY News,Dawn,Sindh,Rawalpindi,Judiciary,Dengue cases rising in Lahore hospitals,22.37913077,,210,0.1717678889,1,601725,108958,,0,,2019-08-25,urdu,,
4336,Nusrat Javed,ARY News,Jang,Islamabad,Quetta,Crime,Pakistan seeks investment from Gulf countries,,10 lakh,298,0.6367260934,,,78772,50 lakh,1,1,2021-12-18,ENG,,
4337,Kamran Shahid,GEO NEWS,Express Tribune,KPK,Rawalpindi,Economy,Remittances fall sharply in July,,,362,0.4165621789,5,395648,,,0,1,2023-09-21,,,
4338,shahzeb khanzada,SAMAA TV,The News,AJK,Quetta,Politics,Attack on Army convoy in Waziristan,,,,,5,615548,34567,1 crore,No,,2024-10-06,English,,41257
4339,Kamran Shahid,Samaa,Express Tribune,Punjab,Karachi,Media,Women cricket team sets new record,,11863477,370,-0.5752344437,0,,,2070658.365,No,,2025-01-28,ENG,,29682
4340,Ansar Abbasi,ARY News,Daily Pakistan,Sindh,Peshawar,Politics,New tax reforms spark debate in parliament,,8069238,,-1.358962353,,1595598,,,No,0,2025-07-18,Urdu,Opposition,
4341,Matiullah Jan,DawnNews,Nawa-i-Waqt,Punjab,Peshawar,Terrorism,HEC budget slashed again,,10 lakh,,,,3.990055319,48879,67240.85791,No,,2023-04-13,,Opposition,2748
4342,K. Khan,DawnNews,Express Tribune,AJK,Rawalpindi,Sports,Senate passes constitutional amendment,41.45961472,10 lakh,,-1.568729749,-1,13.63064041,,1 crore,No,0,2025-01-22,urdu,Pro-Govt,5784
4343,Ansar Abbasi,ARY News,Jang,AJK,Hyderabad,Crime,University students protest fee hikes,22.60958005,7897100,178,,,41.47850856,164506,1 crore,Yes,0,2024-12-12,ENG,Neutral,
4344,Shahzeb Khanzada,DAWN,The News,Islamabad,Multan,Crime,Floods devastate Sindh villages,7.962700114,5 million,,0.7517257588,,19.23490429,,1 crore,0,1,2022-10-02,ENG,,4956
4345,Kamran Khan,ARY,Nawa-i-Waqt,KPK,Peshawar,Economy,Exports see slight recovery,84.33689272,10 lakh,,,0,1786263,53129,50 lakh,Yes,1,2019-07-04,urdu,,
4346,Nusrat Javed,Express-News,Express Tribune,Islamabad,Lahore,Crime,Dollar hits 300 in open market,109.2422376,10 lakh,,,,323852,,4375971.78,1,1,2020-06-24,urdu,,43005
4347,Saleem Safi,Samaa,Dawn,Punjab,Quetta,Crime,PSL Final: Lahore Qalandars vs Karachi Kings,,,,,,,,50 lakh,1,1,2021-01-12,urdu,,36116
4348,Owais Tohid,Geo,Nawa-i-Waqt,Sindh,Peshawar,Economy,Polio cases reported in KPK,32.85820395,,,0.6894405702,,17.48436252,6588,50 lakh,0,0,2018-07-14,English,Pro-Govt,
4349,Umar Cheema,SAMAA TV,Daily Pakistan,KPK,Karachi,Judiciary,Ban on talkshows sparks outrage,,17069807,215,-1.773452155,,35.54160929,103033,1 crore,1,,2020-03-09,English,,36280
4350,Umar Cheema,ARY News,Express Tribune,AJK,Karachi,Sports,Opposition stages walkout in National Assembly,93.52132218,,232,,,,,1 crore,No,0,2018-07-12,Urdu,Neutral,
4351,Shahzeb Khanzada,HUM News,Jang,Sindh,Lahore,Judiciary,Trade deficit widens again,,3027681,148,,4,1618551,,1 crore,1,0,2019-12-07,urdu,Opposition,
4352,Asma Shirazi,hum news,Express Tribune,Punjab,Peshawar,Economy,PEMRA issues warning to multiple channels,,10 lakh,,,0,,,,,,2022-09-11,ENG,,3629
4353,Umar Cheema,ARYNEWS,Nawa-i-Waqt,Balochistan,Multan,Politics,Punjab launches scholarship scheme,68.3694862,,,,4,7.405926781,,1 crore,,1,2025-08-28,,Opposition,33248
4354,shahzeb khanzada,GEO NEWS,Dawn,Balochistan,Islamabad,Economy,Case adjourned till next week,,2 crore,477,,5,0.7087129406,93334,,0,1,2025-12-19,English,,18825
4355,Talat Hussain,ARY News,Express Tribune,KPK,Lahore,Politics,Revenue from tax declines drastically,112.6946907,10 lakh,,,2,1216046,,,Yes,0,2024-02-07,,Neutral,8814
4356,Mohsin Raza,hum news,Express Tribune,Punjab,Peshawar,Economy,Climate change worsening floods,,13995756,,,1,18.21253284,164306,1 crore,No,,2025-04-04,English,Neutral,
4357,Rauf Klasra,ARY News,Daily Pakistan,AJK,Peshawar,Education,Vaccination drive faces shortage,,2 crore,214,0.3240039357,0,10.57672295,165064,50 lakh,1,,2018-08-01,Urdu,Opposition,47574
4358,Mohsin Raza Khan,ARY,Nawa-i-Waqt,KPK,Rawalpindi,Economy,Punjab bans junk food in schools,68.39347881,5 million,,,-1,,152591,,0,0,2021-02-12,English,Neutral,14981
4359,Ansar Abbasi,ARYNEWS,Dawn,Balochistan,Hyderabad,Media,New universities to be established,88.51205808,9303349,130,,,,,,No,1,2022-06-01,urdu,,
4360,Ansar Abbasi,ARYNEWS,Jang,KPK,Quetta,Judiciary,Newspaper circulation declines,,9231264,49,,3,,,1 crore,,0,2018-06-06,Urdu,Opposition,45057
4361,Talat Hussain,geo,Daily Pakistan,Sindh,Rawalpindi,Crime,HEC budget slashed again,,2 crore,284,,1,17.58102815,18156,4801110.372,0,,2022-11-07,English,,
4362,Kamran Khan,Geo,Jang,Balochistan,Quetta,Terrorism,Doctors protest low salaries,,,,,,6.526285727,77091,1011346.184,1,1,2021-07-06,English,Pro-Govt,17236
4363,Owais Tohid,HUM News,Nawa-i-Waqt,Sindh,Peshawar,Judiciary,Trade deficit widens again,108.6603129,14704279,426,0.2973569505,,,,50 lakh,,,2021-07-23,ENG,,45098
4364,Asma Shirazi,Geo,Jang,Islamabad,Lahore,Politics,Hospitals face medicine shortages,80.6145916,10 lakh,,1.451014875,5,30.38915577,,4954275.98,0,,2023-04-16,ENG,,24603
4365,Mohsin Raza,Express,Daily Pakistan,KPK,Lahore,Politics,Geo TV faces heavy fines by PEMRA,,,,,,46.21512487,,1 crore,,1,2019-03-09,,Neutral,38085
4366,Mohsin Raza Khan,Express-News,Nawa-i-Waqt,KPK,Rawalpindi,Terrorism,TTP commander killed in operation,,17092499,,1.671986444,,42.47819739,,50 lakh,No,0,2023-07-16,urdu,,41720
4367,Nusrat Javed,Geo,Dawn,Punjab,Hyderabad,Terrorism,Cricket team departs for World Cup,,,166,-0.09693109079,1,,,50 lakh,No,1,2024-03-09,ENG,Opposition,
4368,Najam Sethi,ARY News,Daily Pakistan,Punjab,Hyderabad,Judiciary,IMF deal finalised today,,390185,,,4,34.11225926,81303,,,,2019-01-01,English,,
4369,Talat Hussain,Express,Express Tribune,Sindh,Multan,Media,Mental health awareness campaign launched,,10 lakh,126,1.207245052,3,36.84305803,127083,1 crore,No,0,2018-07-09,urdu,Pro-Govt,32393
4370,Umar Cheema,DAWN,Express Tribune,Punjab,Multan,Health,Lawyers boycott proceedings,,2 crore,,1.399620648,,1543697,,,,1,2025-05-02,urdu,Neutral,
4371,Dr. Shahid Masood,ary,Jang,KPK,Multan,Judiciary,Pakistan seeks investment from Gulf countries,89.31932415,2 crore,,1.06394173,,1607235,,50 lakh,0,0,2022-04-14,urdu,Opposition,25965
4372,Talat Hussain,AbbTakk News,The News,AJK,Peshawar,Terrorism,Supreme Court issues notice on corruption case,103.7081891,5 million,78,,,1544346,118020,,1,0,2025-12-01,Urdu,Neutral,
4373,Nusrat Javed,ary,Daily Pakistan,AJK,Lahore,Politics,Karachi drainage system collapses,,5 million,,,,1766627,,,Yes,0,2018-04-28,Urdu,Opposition,27083
4374,Umar Cheema,GEO NEWS,Daily Pakistan,Punjab,Hyderabad,Media,Polio cases reported in KPK,-1.186503266,,407,0.9850409277,1,,188669,50 lakh,0,1,2019-07-28,,Neutral,
4375,Shahzeb Khanzada,ARY,Daily Pakistan,KPK,Karachi,Terrorism,Doctors protest low salaries,,2 crore,,,,,,50 lakh,Yes,,2020-07-23,Urdu,Opposition,
4376,Talat Hussain,ary,Nawa-i-Waqt,Islamabad,Hyderabad,Politics,Doctors protest low salaries,4.923867329,5 million,390,,,30.32796996,56168,1 crore,Yes,0,2021-06-28,ENG,Pro-Govt,822
4377,Rauf Klasra,Samaa,Express Tribune,KPK,Hyderabad,Judiciary,Budget deficit reaches record high,32.36925323,2 crore,,1.945711187,,,79618,190762.0641,,,2021-05-21,urdu,Opposition,
4378,Rauf Klasra,hum news,Daily Pakistan,Punjab,Hyderabad,Judiciary,Top court rejects NAB report,,,-26,,1,788043,195527,1 crore,No,0,2022-10-22,,,
4379,Rauf Klasra,Samaa,Jang,Islamabad,Hyderabad,Sports,Women cricket team sets new record,,3384739,,,2,,,50 lakh,1,0,2020-10-09,ENG,Pro-Govt,34650
4380,Saleem Safi,GEO NEWS,Dawn,Punjab,Peshawar,Crime,Pakistan faces defeat in hockey series,61.19426315,5 million,157,,3,7.847652183,182103,50 lakh,,1,2021-08-18,,Opposition,25763
4381,Nusrat Javed,Express,Dawn,Sindh,Hyderabad,Politics,Security forces foil major terror bid,87.53254027,3365464,,0.5380632602,,1169756,178147,1253500.84,1,,2024-11-06,English,Pro-Govt,39748
4382,Najam Sethi,geo,Jang,AJK,Quetta,Judiciary,Senate passes constitutional amendment,35.38071898,,,-0.9363056402,,33.42676554,174308,1 crore,No,0,2018-04-09,,Pro-Govt,34759
4383,Talat Hussain,HUM News,Jang,KPK,Karachi,Judiciary,Private schools increase fees,,2 crore,477,1.804216784,3,1514826,,1 crore,Yes,,2024-03-04,ENG,Neutral,
4384,Asma Shirazi,ARY News,The News,AJK,Lahore,Education,Dollar hits 300 in open market,,2 crore,,,4,,79207,1 crore,No,0,2025-07-27,Urdu,Neutral,32063
4385,Ansar Abbasi,geo,The News,Punjab,Hyderabad,Media,Budget deficit reaches record high,,5 million,,-1.272602952,2,,,,Yes,0,2025-02-15,urdu,,
4386,Dr. Shahid Masood,geo,Jang,Sindh,Islamabad,Sports,Health crisis follows floods,,,,0.9992044171,1,750397,104550,1 crore,1,,2021-11-27,urdu,,33068
4387,Najam Sethi,Geo,Nawa-i-Waqt,Islamabad,Hyderabad,Judiciary,Revenue from tax declines drastically,17.81080387,5 million,215,,,1397887,,,No,,2021-07-01,urdu,,
4388,Asma Shirazi,ARY News,Daily Pakistan,KPK,Multan,Crime,Case adjourned till next week,,5 million,119,-0.3161017588,,26.47350916,194781,3701719.16,Yes,1,2024-10-02,Urdu,,
4389,K. Khan,GEO NEWS,Dawn,Islamabad,Rawalpindi,Health,Floods devastate Sindh villages,44.33267882,5 million,,,-1,,27646,50 lakh,No,0,2024-11-03,English,,
4390,Asma Shirazi,ARY,Daily Pakistan,AJK,Multan,Politics,Geo TV faces heavy fines by PEMRA,72.37482227,2 crore,81,,0,25331,129524,50 lakh,Yes,,2025-09-11,English,Pro-Govt,
4391,Rauf Klasra,DawnNews,The News,KPK,Peshawar,Sports,Quetta blast: ISPR releases statement,114.2204252,,224,-0.6814483064,2,29.34661496,,1 crore,Yes,,2025-08-20,ENG,,
4392,Shahzeb Khanzada,ARY News,Daily Pakistan,KPK,Lahore,Health,Vaccination drive faces shortage,25.26052248,5951919,474,-0.5304269465,3,37.63594205,188947,813859.6634,No,0,2024-11-06,English,Neutral,
4393,Umar Cheema,DAWN,Jang,Punjab,Hyderabad,Judiciary,Dollar hits 300 in open market,,7753863,432,1.514349084,,,164851,-66251.14991,Yes,0,2020-11-12,ENG,Pro-Govt,31173
4394,Rauf Klasra,geo,Daily Pakistan,Sindh,Peshawar,Economy,Security forces foil major terror bid,55.71954977,2 crore,447,,,1526608,,1 crore,No,1,2020-12-15,urdu,Pro-Govt,27458
4395,Asma Shirazi,ARY News,Nawa-i-Waqt,Islamabad,Hyderabad,Terrorism,Khan addresses rally in Multan,117.8212571,10 lakh,150,0.2032585606,,297873,,,,1,2021-09-16,,Neutral,6320
4396,Mohsin Raza,Express-News,Daily Pakistan,Sindh,Peshawar,Crime,Villages submerged in southern Punjab,24.90823143,2 crore,,1.485936547,,1088601,,1 crore,,0,2022-07-18,ENG,Opposition,
4397,Kamran Shahid,geo,Nawa-i-Waqt,KPK,Multan,Media,Security forces foil major terror bid,,5 million,,1.826046846,3,30.09402221,,,0,1,2025-11-28,Urdu,Neutral,
4398,Nusrat Javed,DawnNews,Nawa-i-Waqt,AJK,Hyderabad,Health,Suicide bombing in Peshawar mosque,,,,,,,130615,1 crore,,,2020-01-16,ENG,Neutral,
4399,Kamran Khan,DAWN,The News,AJK,Rawalpindi,Sports,Dengue cases rising in Lahore hospitals,,,27,,-1,1054981,,2685268.708,,1,2024-12-02,English,Opposition,31413
4400,Matiullah Jan,SAMAA TV,Daily Pakistan,KPK,Multan,Crime,International squash event begins in Islamabad,93.65594395,,246,0.1441579275,,359200,,,0,0,2019-09-17,urdu,Neutral,48971
4401,RAUF KLASSRA,DawnNews,Express Tribune,Balochistan,Quetta,Education,"Media freedom at risk, says HRCP report",,2 crore,,0.8380910134,4,219206,51509,,Yes,1,2019-08-20,urdu,,
4402,Matiullah Jan,Express,The News,Punjab,Lahore,Politics,Student unions demand restoration,3.925779085,10 lakh,65,-0.4561794401,3,917317,159171,50 lakh,No,1,2020-04-04,urdu,Pro-Govt,
4403,Asma Shirazi,HUM News,Express Tribune,Punjab,Hyderabad,Sports,PM announces new economic reforms,,5532537,,1.524764971,2,,159846,50 lakh,,,2024-07-22,ENG,Opposition,
4404,K. Khan,DawnNews,Express Tribune,Islamabad,Hyderabad,Health,PM announces new economic reforms,37.38437688,2 crore,288,,0,923855,53450,,0,1,2023-09-14,ENG,Neutral,
4405,RAUF KLASSRA,Geo,Nawa-i-Waqt,KPK,Rawalpindi,Economy,Budget deficit reaches record high,,5 million,,,-1,752876,,,1,1,2021-06-20,Urdu,Opposition,
4406,Matiullah Jan,geo,Express Tribune,KPK,Karachi,Economy,Digital media gaining popularity,-0.5161499239,2249524,,,-1,487998,113882,50 lakh,1,0,2023-12-23,ENG,Neutral,8995
4407,Najam Sethi,HUM News,Express Tribune,Balochistan,Karachi,Media,Pakistan football team defeats India,,15948411,,,,,146869,,,1,2022-09-13,Urdu,Neutral,24140
4408,Najam Sethi,Geo,Daily Pakistan,Punjab,Islamabad,Politics,Polio cases reported in KPK,,,,,,23.13067652,,,1,1,2025-12-19,ENG,Neutral,18975
4409,Shahzeb Khanzada,ARY News,Nawa-i-Waqt,Sindh,Karachi,Economy,Top court rejects NAB report,,10 lakh,162,1.761049297,,6.77367101,,1 crore,1,,2019-09-25,ENG,Neutral,39966
4410,Asma Shirazi,ary,Jang,AJK,Lahore,Media,Health crisis follows floods,56.9906206,16375142,,,,16.78176135,,1 crore,1,0,2025-02-12,urdu,Neutral,42168
4411,Asma Shirazi,Samaa,Dawn,Sindh,Lahore,Crime,News anchor resigns citing threats,26.18569951,2 crore,327,-1.953004165,2,,,50 lakh,No,0,2019-03-06,,Neutral,
4412,Kamran Khan,Express-News,Nawa-i-Waqt,Sindh,Hyderabad,Sports,Five soldiers martyred in ambush,,2 crore,,-0.371640199,,1320985,,50 lakh,,,2023-09-18,urdu,,390
4413,Talat Hussain,ARY News,Jang,Balochistan,Multan,Sports,Journalists protest censorship in Islamabad,14.30022216,2 crore,282,1.110668889,,,79977,50 lakh,,1,2019-05-20,,Pro-Govt,22496
4414,Mohsin Raza,SAMAA TV,Nawa-i-Waqt,Islamabad,Quetta,Crime,Counter-terrorism department arrests suspects,26.98917331,11732768,494,,,1993159,,50 lakh,1,,2023-09-07,urdu,Opposition,31494
4415,Saleem Safi,ary,Daily Pakistan,Punjab,Hyderabad,Crime,Cricket team departs for World Cup,,17258024,468,,,883134,148797,50 lakh,,,2023-05-08,urdu,,2790
4416,Ansar Abbasi,SAMAA TV,Express Tribune,AJK,Hyderabad,Politics,Senate passes constitutional amendment,72.88044138,,310,,,,169201,1 crore,0,0,2021-10-13,English,Neutral,17090
4417,shahzeb khanzada,ARY,Nawa-i-Waqt,Punjab,Rawalpindi,Terrorism,Babar Azam century wins the game,104.1013884,10 lakh,,-0.6429942627,4,,,1 crore,1,0,2019-02-23,ENG,,
4418,Rauf Klasra,ARYNEWS,Nawa-i-Waqt,Punjab,Hyderabad,Judiciary,Chief Justice orders suo moto on Karachi violence,,2 crore,258,1.201852309,5,760166,,1 crore,1,0,2020-10-24,ENG,Pro-Govt,
4419,Matiullah Jan,Geo,The News,Balochistan,Lahore,Media,Case adjourned till next week,25.11211368,10 lakh,,0.1616089357,3,23.25784413,,1 crore,,1,2019-03-14,urdu,,
4420,Shahzeb Khanzada,hum news,Daily Pakistan,Sindh,Quetta,Economy,Doctors protest low salaries,,10 lakh,,,,44.42271702,,3000742.89,0,1,2021-04-28,English,Neutral,
4421,Asma Shirazi,ARY News,Express Tribune,Punjab,Multan,Media,News anchor resigns citing threats,-2.129378332,,159,-1.110019402,,1676431,,,0,1,2020-11-05,,Pro-Govt,
4422,K. Khan,HUM News,Jang,Balochistan,Rawalpindi,Judiciary,Remittances fall sharply in July,96.70200408,2 crore,,,,201421,142425,4723031.701,1,1,2023-10-06,ENG,Neutral,
4423,Owais Tohid,DawnNews,Daily Pakistan,Sindh,Rawalpindi,Education,New talent emerges in under-19 cricket,21.74975552,5 million,,1.474378499,1,,3954,50 lakh,0,0,2023-05-11,,,
4424,Kamran Shahid,Express,Nawa-i-Waqt,Sindh,Multan,Politics,Exports see slight recovery,43.24727379,5 million,168,,,33.00016741,119762,50 lakh,0,,2021-11-04,urdu,Opposition,
4425,Ansar Abbasi,HUM News,Nawa-i-Waqt,AJK,Hyderabad,Crime,Lawyers boycott proceedings,,15138170,386,1.266977484,,,,50 lakh,No,1,2023-05-23,,Neutral,26115
4426,Mohsin Raza,geo,Jang,AJK,Rawalpindi,Politics,Budget deficit reaches record high,84.30964655,,,-1.05439349,,49.10652854,3177,3253736.6,,1,2024-08-22,urdu,,15673
4427,Shahzeb Khanzada,DawnNews,Daily Pakistan,Punjab,Hyderabad,Education,Lawyers boycott proceedings,49.19777075,2 crore,,,,,,1 crore,Yes,0,2025-11-09,,Opposition,43571
4428,Ansar Abbasi,GEO NEWS,Express Tribune,Punjab,Multan,Economy,Lawyers boycott proceedings,,,224,-0.8516050668,,9.374333611,,,1,,2025-04-03,,Neutral,
4429,Kamran Khan,Geo,Dawn,KPK,Rawalpindi,Politics,Stock exchange crashes amid crisis,,5 million,,,,,,1 crore,No,1,2020-06-15,ENG,Neutral,
4430,Najam Sethi,GEO NEWS,The News,Sindh,Quetta,Education,Five soldiers martyred in ambush,46.09634114,10 lakh,470,,,1647550,,3832722.936,No,1,2023-06-06,ENG,Neutral,25517
4431,Matiullah Jan,Express-News,Dawn,Sindh,Quetta,Politics,Education ministry faces criticism,9.829911027,,213,0.2320336321,-1,5.381709576,,,,0,2025-08-10,ENG,Pro-Govt,
4432,Shahzeb Khanzada,GEO NEWS,Dawn,Punjab,Multan,Judiciary,TTP commander killed in operation,111.8479846,5 million,,1.203889491,4,1762572,,,1,1,2020-06-16,ENG,,
4433,K. Khan,HUM News,The News,Punjab,Peshawar,Judiciary,Bomb blast near Karachi market,69.23875368,,,-0.7581522861,,,,50 lakh,No,,2023-04-12,,Opposition,
4434,Ansar Abbasi,ARY News,Daily Pakistan,KPK,Islamabad,Media,TTP commander killed in operation,38.09724227,10 lakh,,,2,8.595677525,,,1,1,2022-08-12,urdu,Pro-Govt,
4435,RAUF KLASSRA,ARY,The News,AJK,Islamabad,Media,Curriculum reforms announced,,5 million,,1.164032638,-1,26.03420232,,1692646.204,,0,2020-11-18,,Neutral,32403
4436,Mohsin Raza,Express-News,Express Tribune,Islamabad,Lahore,Sports,Babar Azam century wins the game,1.582271875,10 lakh,332,,,1666153,,1 crore,,0,2022-05-12,ENG,,
4437,Rauf Klasra,ARYNEWS,Jang,Sindh,Lahore,Terrorism,PM announces new economic reforms,106.1470719,2 crore,,-0.7577566895,,,160098,50 lakh,Yes,0,2023-07-03,,Pro-Govt,28811
4438,Ansar Abbasi,Geo,The News,Punjab,Hyderabad,Politics,Revenue from tax declines drastically,88.17611371,,,-0.8332575852,,,144185,1 crore,,1,2018-04-18,,Neutral,
4439,Asma Shirazi,ARY News,Dawn,AJK,Rawalpindi,Health,COVID resurfaces in Islamabad schools,,5 million,,-0.02160374464,,,,50 lakh,0,0,2024-11-06,urdu,Opposition,
4440,K. Khan,hum news,Nawa-i-Waqt,Islamabad,Multan,Education,Curriculum reforms announced,43.9140201,5 million,261,-0.0247666573,5,,163177,84786.84125,,0,2019-02-08,urdu,,
4441,Umar Cheema,SAMAA TV,Nawa-i-Waqt,AJK,Multan,Sports,Karachi Kings beat Multan Sultans,,10 lakh,,,1,1971531,175084,50 lakh,No,,2019-09-28,Urdu,Neutral,
4442,Mohsin Raza Khan,ARYNEWS,Nawa-i-Waqt,Balochistan,Rawalpindi,Health,Hockey team faces funding crisis,,206407,,-0.8205534944,,,3516,1786203.791,No,0,2020-01-21,urdu,Neutral,10714
4443,Kamran Shahid,ARY,Nawa-i-Waqt,AJK,Karachi,Terrorism,News anchor resigns citing threats,38.47545365,,,1.020330953,2,417047,19820,4558583.816,0,1,2019-06-08,Urdu,,
4444,Matiullah Jan,Express,Dawn,Islamabad,Peshawar,Health,Flood relief funds under scrutiny,,2 crore,,,,,66961,,No,,2019-10-23,English,Opposition,38838
4445,Umar Cheema,SAMAA TV,Dawn,Sindh,Lahore,Media,Hospitals face medicine shortages,,,361,,,,,1 crore,No,1,2025-11-22,,Neutral,
4446,Ansar Abbasi,HUM News,Dawn,Islamabad,Karachi,Health,Ban on talkshows sparks outrage,104.5940388,,383,0.9410495952,,493051,,1 crore,,,2021-03-11,English,Pro-Govt,44187
4447,Ansar Abbasi,ary,The News,Sindh,Multan,Health,High Court stays government decision,,5 million,68,,,788287,145854,4730528.255,1,0,2019-12-17,urdu,Opposition,
4448,Najam Sethi,geo,Express Tribune,Islamabad,Islamabad,Economy,New tax reforms spark debate in parliament,,5 million,420,-1.312553734,4,40.12356875,142118,1 crore,1,,2019-11-08,urdu,Neutral,46634
4449,Nusrat Javed,hum news,The News,Islamabad,Rawalpindi,Sports,TTP commander killed in operation,34.02485191,10 lakh,192,,-1,,43395,,1,0,2022-12-14,,Opposition,42670
4450,Kamran Khan,ARY,Express Tribune,Islamabad,Peshawar,Crime,HEC budget slashed again,-0.1926258552,10 lakh,,,,,,,1,,2021-04-14,,Pro-Govt,7448
4451,Mohsin Raza,DAWN,Daily Pakistan,Balochistan,Quetta,Economy,NDMA warns of heavy rains in Punjab,27.15474065,5 million,,,,,191071,1 crore,1,,2024-11-12,ENG,Pro-Govt,16213
4452,K. Khan,ary,Daily Pakistan,KPK,Multan,Education,COVID resurfaces in Islamabad schools,,,352,0.7438243061,,1891122,60607,,,,2022-09-11,ENG,,5250
4453,Rauf Klasra,Geo,Express Tribune,Sindh,Karachi,Education,CJ addresses bar association,,2 crore,,,,,,1 crore,0,,2025-07-14,urdu,Pro-Govt,14384
4454,Kamran Shahid,geo,Nawa-i-Waqt,AJK,Islamabad,Education,Security forces foil major terror bid,,,76,,,,,1 crore,,0,2019-12-17,urdu,Opposition,
4455,Rauf Klasra,ARY,Jang,Balochistan,Rawalpindi,Politics,New tax reforms spark debate in parliament,109.0013078,,398,0.6195326421,2,1778706,,,1,1,2023-02-09,urdu,Neutral,
4456,Dr. Shahid Masood,Samaa,The News,Islamabad,Rawalpindi,Politics,Punjab launches scholarship scheme,102.6015654,19285960,294,1.668540717,2,300077,141017,1209932.313,Yes,1,2020-04-19,Urdu,Neutral,
4457,K. Khan,DawnNews,Nawa-i-Waqt,Sindh,Islamabad,Politics,Pakistan seeks investment from Gulf countries,11.85856991,5 million,257,-1.466357912,4,1566817,104321,1 crore,Yes,1,2020-03-07,English,Neutral,21315
4458,Ansar Abbasi,ARY,Dawn,AJK,Hyderabad,Media,HEC budget slashed again,16.07612932,,242,,0,1401188,49908,4605988.415,,,2018-08-05,Urdu,Neutral,6305
4459,Ansar Abbasi,ARY News,Daily Pakistan,AJK,Peshawar,Politics,Dollar hits 300 in open market,,,421,,,17.37152754,,50 lakh,,,2021-09-15,ENG,Neutral,25444
4460,Rauf Klasra,DAWN,Jang,Sindh,Quetta,Economy,Babar Azam century wins the game,,10 lakh,105,,2,1818933,54837,1 crore,1,,2022-07-14,English,,43182
4461,Talat Hussain,ARY News,Daily Pakistan,Balochistan,Quetta,Health,Terrorist attack in Quetta leaves 20 dead,71.08490193,,,,,,,920272.4,No,1,2018-11-16,ENG,,
4462,Talat Hussain,HUM News,Dawn,Balochistan,Karachi,Health,HEC budget slashed again,69.3772447,3008263,,1.074253071,0,45.07977911,,2614633.075,Yes,,2022-03-23,English,Opposition,
4463,Talat Hussain,ary,Nawa-i-Waqt,Punjab,Multan,Crime,Attack on Army convoy in Waziristan,,5 million,,-0.007880442592,,11.51207322,87889,50 lakh,0,,2025-05-27,,,1778
4464,RAUF KLASSRA,ARY,Express Tribune,Balochistan,Multan,Education,IMF deal finalised today,,2 crore,184,0.4746880559,-1,1654127,146683,1 crore,1,,2022-03-13,English,Opposition,49871
4465,Dr. Shahid Masood,Geo,Daily Pakistan,AJK,Lahore,Judiciary,Private schools increase fees,118.812508,10 lakh,333,,,758733,189125,,,,2022-03-13,English,,32665
4466,Shahzeb Khanzada,HUM News,Nawa-i-Waqt,Sindh,Lahore,Sports,Curriculum reforms announced,,,299,-0.8805581624,,1817742,81101,1 crore,1,1,2023-11-21,ENG,,
4467,Mohsin Raza,ARY News,Jang,Sindh,Multan,Crime,News anchor resigns citing threats,23.45666805,5 million,288,-0.1451524977,3,,169733,,,1,2022-01-21,,Neutral,
4468,Kamran Khan,ARYNEWS,Express Tribune,AJK,Rawalpindi,Terrorism,Newspaper circulation declines,,5 million,163,,,1464756,198187,1 crore,Yes,1,2019-02-24,English,Opposition,
4469,K. Khan,ARY,The News,Islamabad,Peshawar,Economy,Floods devastate Sindh villages,36.71627922,10 lakh,131,,-1,16.1515451,,3411198.621,0,,2025-09-27,ENG,Neutral,22198
4470,Najam Sethi,Express-News,Dawn,Islamabad,Rawalpindi,Media,Journalists protest censorship in Islamabad,58.30662677,2 crore,193,,-1,,,2692096.256,No,0,2024-10-17,Urdu,Pro-Govt,14307
4471,Kamran Khan,Geo,Dawn,Punjab,Karachi,Judiciary,"Judiciary under pressure, say analysts",,2 crore,,,,1118194,18000,50 lakh,Yes,,2019-04-18,urdu,,
4472,Mohsin Raza,AbbTakk News,The News,Islamabad,Rawalpindi,Media,Attack on Army convoy in Waziristan,-0.6193716569,10 lakh,,0.657461697,,179683,,,Yes,,2020-07-01,,Pro-Govt,44231
4473,Ansar Abbasi,Express,The News,AJK,Rawalpindi,Crime,PSL Final: Lahore Qalandars vs Karachi Kings,68.53376705,5 million,458,,1,49.51260656,95856,2642508.828,No,0,2024-08-07,urdu,Opposition,
4474,Rauf Klasra,ary,Daily Pakistan,KPK,Peshawar,Media,Khan addresses rally in Multan,109.3569973,2 crore,234,,1,,,1 crore,No,1,2023-08-13,urdu,,42871
